_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
11,gnwjawuewo@example.com,United Kingdom,Renewable Energy,Governance Specialist,No,nsBEtFlRXl,oHVoRnBSMTsWuzZvKnIVCYSVMuXCbLTqXCNLcgdJwSuVQLzhUG,"Information Security Reviews (e.g., safeguarding data and systems)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",oBuJCTuMKe,Fairness,Governance,xteFBjFwBp,No,Very Easy,Concerns re confidentiality of data,Not prepared at all,Neutral,Not Systematically,Non-standardized written Reports,Strongly agree,Strongly agree,Somewhat satisfied,I don’t know,I incorporate them in my work as guidelines.,Moderately valuable,MmvDHVPdCYnBLYpOMsjNUNJfQPoDgCLHRfyVutVoHfHXtgelhl,Internal governance process,kmjmgxKsLVHOWniyuqWPyKqxvgbLJMsnvmOtYEXbzGcgTDNCti,I need to know more about this tool to decide,plaYLxTbVhSUidsaDpxmYPUOpDsYVtMSWfSKLXtpFitEJgRCAq,eOykkzABxxwwwpbhfnimlTZvKfVFmjHTeBYAntGkLwkpRktgeL,Regulatory Clarity and Compliance Guidance,Step-by-Step Guidance / Skills Training,MKQHFLxSniBnHqrWSzGuRpRJgEbVPlZMTdOYVornNWFwdbpWAm,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Business case justification', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training']",2020-02-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Not challenging at all,Slightly challenging,Very challenging,Not challenging at all,Not challenging at all,Very challenging,Not challenging at all,Moderately challenging,Slightly Relevant,Moderately Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Moderately Relevant
12,mqpxhcivgg@example.com,South Korea,Technology,Semantic Web Technologist,Indirectly (We support clients or provide components for their digital twins),aSYpwCdDaj,BvCkiROCTMvMUUOVIxuKRZSOCvIXVMvpyVIDIDawfOMUlVVOhw,"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",zvcCfLyPpx,Governance,Evolution,dEMDVrUuhK,No,Somewhat Difficult,Lack of trust in partner organisation,Very prepared,Neutral,Meetings,Digital Communications,Strongly agree,Neutral,Very satisfied,No,I incorporate them in my work as guidelines.,Not valuable at all,RdkVqfJXSOupdpCfQQmNzVLZcApHJEomqWNegfhMyBvTFbtern,Developed by an external consultant,WzrwCSsOzKOxuHauLrHeCezbJOFLbiLhwNaCfqLoskBCOkRIDg,No,LTDCmXbHsZvXDKEwXkzswFaGXzyiYQIxkMTkhHvLtNBCOaoZxf,PKSwhBuBgbVzWCojTifLfhfHPjBNlBpLMTlyCHOaeZtUioTCzU,Business case justification,Other (Please specify),tmfQzgNjrXVQxjQorRFpZenyanDxbwJyblVTincxpQBfSvAWRS,"['Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance']",2020-01-27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Slightly challenging,Very challenging,Very challenging,Not challenging at all,Moderately challenging,Extremely challenging,Very challenging,Moderately challenging,Extremely challenging,Slightly Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Not Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Extremely Relevant
13,wdrtfkyqya@example.com,India,Education,Governance Specialist,Indirectly (We support clients or provide components for their digital twins),IrukMaobIL,innImJXEOeqnYZzDTIFVAJctfqfZlwPGSYeGSRegoePIqzEMAB,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",AQPefVyjZY,None,Accountability,NbJyqpFjRG,Yes,Very Easy,Business Change,Neutral,Agree,Written Reports following established standards,Visual Aids,Strongly agree,Disagree,Somewhat satisfied,No,Select,Extremely valuable,DEYMuyRCpHswLyFwLcjXoXFQSqvsDpCtdKxOcocmhpNbUaocPh,Select,rOhrfAfPLDuChtObUqDsXwztBPWYqmaNxZtkSiKQBiMWDGKMAv,I need to know more about this tool to decide,NkvtXbtgHIZaCGwmXIGICANHXrPprJwxtXzgjMjqyHQBqzGKeD,mnXxUADMIqJkctFoEmTLQdYZMeJjUIKHBOGrVIszucoecoMAdz,Business case justification,Business case justification,cbcgpghuhylsIDOYcyklItvHjDqFKtVSLTVnXZZWeFmGJDzKqv,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-10-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderately challenging,Not challenging at all,Slightly challenging,Moderately challenging,Moderately challenging,Slightly challenging,Extremely challenging,Moderately challenging,Not challenging at all,Slightly Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Not Relevant,Moderately Relevant,Not Relevant,Moderately Relevant,Extremely Relevant
14,ohgeqeyerg@example.com,United Kingdom,Water,Other,No,YYIsNRzmMJ,CRlXAjhVcnqisngszACggRUiTfazAfFDtwLvnVLLAVSZkpuzex,"Information Security Reviews (e.g., safeguarding data and systems)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",faOaVqZNCo,Federation,Openness,oqUEQLMjGS,No,Very Easy,Lack of trust in partner organisation,Somewhat prepared,Strongly agree,Written Reports following established standards,Digital Communications,Neutral,Neutral,Very unsatisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Moderately valuable,nCRYAewZfRvdMeeXuctAQALJZccSxAEmZrBqRrrPyFfcuIVsCE,Internal governance process,eFyxuCkfceVjkXXmfsvpQTzSlHnuBquqtilpkFGcFRcIERNgff,No,NcxiLdAilLZVVZVOHvHOUEQmEfGFahMXwrbTaeoqezuFdLtmsH,hUXNbfuGCgMFhMdYTFRujPlZzCmNiilWPVsVFpsOjRYgQFUJaE,Value demonstration,Tools to easily create Assurance Cases,dforkQYLnJzYJdMOGtNYzrVcYmFCyDjAWhTDocDAZcqFwooycV,"['Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Awareness Programs for Assurance']",2022-12-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Slightly challenging,Extremely challenging,Moderately challenging,Very challenging,Moderately challenging,Very challenging,Not challenging at all,Extremely challenging,Extremely Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Very Relevant,Very Relevant,Not Relevant,Extremely Relevant,Slightly Relevant
15,qezeuyhczx@example.com,Belgium,Engineering,Executive/Decision-Maker,Yes,HgAJWiskDt,ZugJMIkKTaAuvckybwdavyRgDDaOplFpfMOGhyWIlzgEoeDxts,"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",rHXXodjBBX,Security,Value Creation,uPFQZSDtlZ,No,Very Difficult,Lawyer mis-alignment / legal agreement barriers,Neutral,Disagree,Other,Non-standardized written Reports,Agree,Strongly disagree,Very satisfied,I don’t know,I've heard of them but don't know much.,Very valuable,hrallNuLginBFhQLcRzANzJzVVYctNJZstDxuGFKlrtfGmCBRv,"Consensus-based process (e.g., collaborative efforts of industry consortia)",nwRYGzLqbBkZyvTHKJRXFsWWhlZeARrllEcabJCqPMOdXIsvOF,No,BdNWQAzedfzfvqKGNmFTLDIvTzlvxyppWMzKZGNtvJVsQRstDG,OJqhusGDmuLWVyFvxyNtFvraLdabyufhGEgSGHwKSyYRSzCJGU,Other (Please specify),Step-by-Step Guidance / Skills Training,hLEibQZHmkkyzixeuvRhExxadqgrKImdwXsPykjbPixUbYHUiw,"['Tools to easily create Assurance Cases', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance']",2021-12-18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderately challenging,Moderately challenging,Moderately challenging,Extremely challenging,Slightly challenging,Slightly challenging,Very challenging,Slightly challenging,Very challenging,Very Relevant,Not Relevant,Extremely Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant
16,fichtktrqq@example.com,United Kingdom,Water,Technical Manager/Lead Developer,No,ALCKIcLlSe,ORgcMSWubHExUuZWCotBNYUWDMWkzcPNoudYFFJsEgZaxxGnLU,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)",None,sSFgenAlFv,None,Data Stewardship,YDWhtSlPlJ,No,Neutral,Intellectual Property Rights,Somewhat prepared,Disagree,Non-standardized written Reports,Interactive Platforms,Strongly disagree,Neutral,Somewhat satisfied,Yes  / Something similar,Select,Very valuable,bJaLyVOitCqgBGUfBtlRxUAIgBxCkDubLkucewDucKYZrCnljP,"Consensus-based process (e.g., collaborative efforts of industry consortia)",VWsRedfLEDPaDZYvLynEtaXdpNsqhycnUQtakuEuzOTjNUTyQk,Yes,fopBQOUSOkDndvytrcjcpedocSOJqporKsMWMXicqfMhCwPARF,BnsVKQIthWvLVvCEOpjxEtgxWSfBxKSzcUbyfeXiDZTmsWAMGv,Tools to easily create Assurance Cases,Value demonstration,KzHqouwMVuWUCoUQBmBdpwEhVlhCXKcUpvLcdbjwaKMrYIxbtr,"['Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration']",2023-02-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Moderately challenging,Not challenging at all,Extremely challenging,Extremely challenging,Moderately challenging,Moderately challenging,Very challenging,Slightly challenging,Very Relevant,Slightly Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Not Relevant,Moderately Relevant
17,rjoxlligvv@example.com,United Kingdom,Renewable Energy,Executive/Decision-Maker,Yes,laSmifdiwm,AMbflICgwQPQvrXMuWDYpycyWfXlJckKsBsrzTZhmkegRCkFYA,"Compliance Audits (e.g., verifying adherence to laws and regulations)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",ZCQMYqlreE,Ethical Integrity,Robustness,pdXgpYRKUi,Yes,Neutral,Lack of trust in partner organisation,Very prepared,Disagree,Visual Aids,Other,Disagree,Agree,Very unsatisfied,No,I incorporate them in my work as guidelines.,Not valuable at all,KNVvOOoTxZhgovgQqNpCzbsFxqWxmgxnpvsoTLukmlCpzjIAsm,Select,xVODlGkDmhWilYdoFNEiaOTMxJWJuQIkdRlXMDeLCgrleGidBP,I need to know more about this tool to decide,PQAEkMydtFxXfSljporiaVGhqJggrmWEKtdMDewEioStQPUzLX,bODpHHSEMQymJHHMjyzWoPYATgMEpaXMiYHrBdvUNDjeRJMszy,Other (Please specify),Regulatory Clarity and Compliance Guidance,bGBnQTiiwMDhfMRuAgNrJxFdEKnEUgYcuBRbSCqntzoQGoMJBq,"['Business case justification', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance']",2023-10-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not challenging at all,Very challenging,Extremely challenging,Extremely challenging,Not challenging at all,Extremely challenging,Very challenging,Extremely challenging,Moderately challenging,Slightly Relevant,Slightly Relevant,Extremely Relevant,Very Relevant,Not Relevant,Extremely Relevant,Extremely Relevant,Very Relevant,Very Relevant
18,dmxuzcjvgy@example.com,Switzerland,Electricity,Industry Consultant/Advisor,No,KfmCsBdlaP,CbhuHnqVhuNfhGAfTbLheuwMkuVnyGTnskerYGQGDkCkZiashN,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Compliance Audits (e.g., verifying adherence to laws and regulations)",msveFYMSHH,Quality,Fairness,hnyyzaWNjk,No,Not Applicable,Lawyer mis-alignment / legal agreement barriers,Not prepared at all,Strongly agree,Non-standardized written Reports,Not Systematically,Strongly agree,Strongly disagree,Very satisfied,I don’t know,I have helped develop them.,Slightly valuable,CEaIXuQkXihmIibUWjjhsWdlNjpxchUfWAHvKRVkjVuqUspCNp,Reused existing framework / standards,nnGxBFhPMOHAdTIzlGclywZhoZQifPWiLKSOigNPkKGAGSNTLr,Yes,uFKutuCwRsAzbxoOBcTejDrCNxgqczqUEnpRXDuZlyiqgVQOuW,MkVCPSPQZAoBIvJbOAGNZwCZfmCBgRznKcgNwZOAqoCnTUfBbp,Other (Please specify),Regulatory Clarity and Compliance Guidance,ayMeTWSkWAsGtnxNONZKfoMZQMXMamnqlRNPpzSJMGLwnthSat,"['Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases']",2022-03-18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Not challenging at all,Moderately challenging,Slightly challenging,Very challenging,Very challenging,Slightly challenging,Very challenging,Extremely challenging,Extremely Relevant,Not Relevant,Very Relevant,Not Relevant,Slightly Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Not Relevant
19,pvnmngqkjs@example.com,United Kingdom,Education,Platform Developer,Yes,VPFpoKKYMk,WsTGSwedGgafCtOvavpAzIhKMxwFaQrLrQwwjakOcEOxvdstPm,"Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",Stakeholder Feedback Systems,AJDqGYNXRH,None,Interoperability,spddPmUqso,No,Neutral,Intellectual Property Rights,Not prepared at all,Agree,Interactive Platforms,Interactive Platforms,Neutral,Disagree,Somewhat unsatisfied,I don’t know,I have helped develop them.,Not valuable at all,eRTofPNyeQGRKzrIvxUywGZSmCKcQJDPgetFMvhPlMAFwnqBoR,Developed by an external consultant,vcqOZXzRLPGRgggbQjdcmRaDkXzZfMdAlgFACrBbLNBaYHKvYw,No,dwtOGKorTWZgHJJQtWgWZfCNVbiszBGrXJwtrJSCoIIdkKOSfO,WNosedvHvwvIIJbqDDqfvkBzajKLTpGKQcKUsxBQDHWWzPvFXT,Regulatory Clarity and Compliance Guidance,Step-by-Step Guidance / Skills Training,gvxFuSyQqWSTbAvDMVJqwkYizpgxPjcaKfymnKKFnZItBgtHRm,"['Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance']",2023-09-19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderately challenging,Moderately challenging,Not challenging at all,Moderately challenging,Slightly challenging,Moderately challenging,Moderately challenging,Very challenging,Not challenging at all,Not Relevant,Not Relevant,Moderately Relevant,Not Relevant,Very Relevant,Very Relevant,Extremely Relevant,Extremely Relevant,Very Relevant
20,jfyljszzls@example.com,United Kingdom,Water,Ontology Engineer/Framework Architect,Indirectly (We support clients or provide components for their digital twins),ugMVKzXfZg,xPUPvaooTYuzhDEThFvmxTRmQLbfdPseGABovlxWBYjDVUWrRJ,Other (Please specify),"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",BuTFjJbHxE,Fairness,Federation,EQWipVKLpQ,Yes,Somewhat Easy,Concerns re confidentiality of data,Very prepared,Strongly agree,Other,Written Reports following established standards,Agree,Disagree,Very unsatisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Not valuable at all,IpZEmikPPxydikdbvClxJokEuRBYGlDxEaEhtremYcIsaKBOYg,"Consensus-based process (e.g., collaborative efforts of industry consortia)",GMjhAudtNnFOSjqwYkIkGvVoIdiTpEBoERXWZLYGOnuHhPMWCB,No,DqWnxBfptLEjYbtmpzsmGslMzxZmSvNRXAigfKLNzYSloPTjmo,qzAYhxywxYyfIhRJeeZlRRGhQcFfjCCGsmWbwXPJiiFQpnMlsL,Step-by-Step Guidance / Skills Training,Business case justification,RrytoqgzTQcOnZqinjMknKnXmSzubIFEiGKPtArwbnftWyDURT,"['Value demonstration', 'Awareness Programs for Assurance', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance']",2020-06-30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Slightly challenging,Not challenging at all,Not challenging at all,Not challenging at all,Not challenging at all,Extremely challenging,Moderately challenging,Not challenging at all,Moderately Relevant,Slightly Relevant,Slightly Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Not Relevant,Very Relevant,Not Relevant
21,rotnpdvvls@example.com,United Kingdom,Electricity,Governance Specialist,Yes,dWuyUGkAGy,nTuYeuxwVIiaSwoVirkbgDENPALLJFJKahBSIUDcwjFaAOQUuE,"Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)","Impact Assessment (e.g., assessing effects on stakeholders and environments)",CePLOauvEE,Robustness,Governance,zzEqhILYka,Yes,Somewhat Easy,Competition,Somewhat unprepared,Strongly agree,Visual Aids,Meetings,Strongly agree,Neutral,Somewhat satisfied,Yes  / Something similar,Select,Moderately valuable,FwrIXSnyGEAOfeCXEcOxmhuTUkWOXWBfWsXoriLbigGUJphmRD,Adapted existing framework / standards,NinLHfSxipdkJlOpyxMLXcFsInwBFOQMxCNxjamBlDxnlyMbzn,Yes,yLHPRrOCkuVuKHuHkZDFviMKkFejqkCZKBEyTWrYyeBNndupYL,qrUUXLAmjViQAHJYrLWgXAVoYQiUqJZInthPctNVWlYnrSZqqB,Awareness Programs for Assurance,Value demonstration,tkPfEGrsUMSGASdmaxXLzoNicDWdskPUWrOKFISlRWSOoSJQGO,"['Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases']",2023-11-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Very challenging,Very challenging,Very challenging,Moderately challenging,Slightly challenging,Moderately challenging,Extremely challenging,Moderately challenging,Extremely challenging,Moderately Relevant,Very Relevant,Not Relevant,Very Relevant,Slightly Relevant,Slightly Relevant,Slightly Relevant,Extremely Relevant,Very Relevant
22,jdsyamjpeg@example.com,Austria,Water,Middleware/API Developer,Indirectly (We support clients or provide components for their digital twins),LSZiLgLrBn,dVnqFjiucqRvQCsWNyGbuqKoVezGgstHzwXVcghkFZhpTPypML,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Compliance Audits (e.g., verifying adherence to laws and regulations)",mFevqqsQlr,Governance,Data Stewardship,DdJUZHWcbQ,Yes,Somewhat Difficult,Competition,Somewhat unprepared,Neutral,Other,Non-standardized written Reports,Agree,Neutral,Somewhat unsatisfied,Yes  / Something similar,This is the first time I've heard of them.,Extremely valuable,wEZLwhWFHRyYKEpGVJvyFEAnSxYlbOMiApEDCtAHrqFSMMEGdO,Select,gaHRVONDmFrXooJMchEboxeiAbmQGSPcLfhEKNCfIznWcVzCZJ,No,sKyDowAJyHWOgXEVxFmPZpkYxuPMKSAadDZAvYKwciNkmwyXmF,cgqrqMHEOrfXSdLfohtlAIYQkderGvpAqAdXyzdnQDulQvvGyN,Value demonstration,Step-by-Step Guidance / Skills Training,UnKcIburGjNCPHHfsYGhVhmDmRMdlTnOOUaopwUeGKDhEzPYpd,"['Awareness Programs for Assurance', 'Business case justification', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training']",2020-01-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderately challenging,Moderately challenging,Very challenging,Very challenging,Not challenging at all,Slightly challenging,Slightly challenging,Not challenging at all,Extremely challenging,Extremely Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Not Relevant,Moderately Relevant,Very Relevant
23,durvgezldw@example.com,Brazil,Electricity,Industry Consultant/Advisor,No,pyIbAIYgzE,MQwHIhHsIOPjZOEvPBHBjwfnrZseifZbFegRKqpUgqlDxkVyGW,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",anzpQBnzQf,Sustainability,Governance,FSJwDrrhwc,No,Somewhat Difficult,Loss of control of data,Very prepared,Agree,Interactive Platforms,Digital Communications,Agree,Agree,Somewhat satisfied,No,I incorporate them in my work as guidelines.,Slightly valuable,uShCGvrGmQyZXXZPpRJhgzNuATTpNrCesOYQrLUlaAvlwahlhF,Reused existing framework / standards,ppPWyEGIXpRDiTXtygdfXyHspUzEmHDSjptDDtHfOZqjEyxEbh,I need to know more about this tool to decide,SBYGMzdeKdrWAMaFTbIpuHLKvzLvlCyyXBZMAYwrICnfqAryct,SrsFdwNTAmNPtUCTZWCpiQkopWpKQzNwFHzocladtezZHBvePR,Other (Please specify),Step-by-Step Guidance / Skills Training,WBrkPRuYaQPNcIOtIZMKTsGffGkoSqiHLMNzovGAoJIQcSwjgs,"['Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2021-01-25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Very challenging,Slightly challenging,Very challenging,Very challenging,Slightly challenging,Very challenging,Very challenging,Not challenging at all,Moderately Relevant,Not Relevant,Very Relevant,Very Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Slightly Relevant
24,qjqmcdaqmg@example.com,Indonesia,Renewable Energy,Developer/Engineer,Indirectly (We support clients or provide components for their digital twins),edCOECPoqy,QxgrkfmndEcJTeHndifwyUZzECzYZljSWyRkRAUQLPsxuprqks,"Service Continuity Management (e.g., ensuring ongoing operational reliability)","Formal Verification (e.g., rigorously proving system properties)",IBZZLETYOj,Robustness,Federation,EQlFEzPCbI,Yes,Not Applicable,Competition,Somewhat prepared,Agree,Visual Aids,Interactive Platforms,Strongly agree,Agree,Neutral,No,I've heard of them but don't know much.,Not valuable at all,kwWreWSYPPFQwaqPXYvVPopyqKxtZSVQmdqUNuYdVtvvmYhCTP,Developed by an external consultant,vfXEsuybbegahDgrolirQkItXdXRUuXlmeztBrNKwwCvqdaZXP,I need to know more about this tool to decide,aEXecKAwaoCQMLeMEUfeswcWHMwCShdCHLcMLFhfYOmsDsWwVE,yhngKanlnBtRuqFcgzzoXCYRySmgizLmyzzjmDWbSMxuwWkCLE,Awareness Programs for Assurance,Awareness Programs for Assurance,spfBvBnbRAvVgvyOeFoonLaFEYRfIQCJMsLMLPlJjeBGUmJcXq,"['Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Tools to easily create Assurance Cases']",2021-11-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Moderately challenging,Very challenging,Slightly challenging,Extremely challenging,Moderately challenging,Very challenging,Not challenging at all,Not challenging at all,Moderately Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Not Relevant,Not Relevant,Moderately Relevant,Not Relevant,Not Relevant
25,xfvdosaydt@example.com,United Kingdom,Education,Executive/Decision-Maker,Indirectly (We support clients or provide components for their digital twins),YylwGEgajx,zQfRzxwrwOCskPITtPIclOfnVAslCreFpnDCvvwwEPCUiqyzwb,Other (Please specify),"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",EvLgVtsjkT,Interoperability,Fairness,LzIxaXmLIf,Yes,Very Easy,Business Change,Neutral,Agree,Visual Aids,Meetings,Neutral,Disagree,Very unsatisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Moderately valuable,DoGZUSPffnEAQPSPhcEIKCxGNkGKnLpzqnCPEprFxSIKRCNcAT,Reused existing framework / standards,VWaGSmzEXcSLctoQygOAVrMTInvhWzMUEDcuFaeFnTLyzODOqV,No,bgNatLlFEcxiwPWrzXbCucvitnYqWyZNalyKaDhOOPHcESEjEm,haAkqXYSTHdNuuPRoZohpuhrRLMqIBlSoaWTtxQXJArZFlAuMT,Business case justification,Awareness Programs for Assurance,InbXknBiDQdFBowdeCMYVzzCTAmIyiyowAaMTRzBYthNFImtex,"['Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Business case justification', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance']",2023-08-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Moderately challenging,Not challenging at all,Slightly challenging,Moderately challenging,Moderately challenging,Not challenging at all,Slightly challenging,Not challenging at all,Slightly Relevant,Moderately Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Moderately Relevant,Slightly Relevant,Extremely Relevant,Slightly Relevant
